# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
1.900000000000000000e+01 1.167736687322901545e+01 3.740232390865889239e-02 -1.257426082216032626e+01 1.559515148906972792e-01
2.000000000000000000e+01 1.163245055541370832e+01 3.738409837452939116e-02 -1.250096410629348576e+01 1.607510534234588284e-01
2.100000000000000000e+01 1.131349186868625090e+01 3.469246394047272031e-02 -1.238264841929497528e+01 1.495242261528882677e-01
2.200000000000000000e+01 1.156241972043803301e+01 3.284437332869095255e-02 -1.285333628664404237e+01 1.434106865155665711e-01
2.300000000000000000e+01 1.155627843132542765e+01 2.953812772563593411e-02 -1.201791429558726421e+01 1.637053192483527708e-01
2.400000000000000000e+01 1.161495008063478451e+01 3.462095194774143098e-02 -1.293266442422173945e+01 1.417548098624209774e-01
2.500000000000000000e+01 1.154331113940207842e+01 3.519953085223787720e-02 -1.253512552397157620e+01 1.392025413624053687e-01
2.600000000000000000e+01 1.153635613330721377e+01 3.063409803783701674e-02 -1.257558202313864548e+01 1.511328895150476359e-01
2.700000000000000000e+01 1.141893644218041182e+01 3.208867379876895881e-02 -1.274833326488323770e+01 1.435146736684258795e-01
2.800000000000000000e+01 1.152712102814891892e+01 3.148270552641622283e-02 -1.260177330533059070e+01 1.393074639659244718e-01
2.900000000000000000e+01 1.150474284273277981e+01 3.058233032616599137e-02 -1.275068010951670594e+01 1.366386534327524160e-01
3.000000000000000000e+01 1.138332839802472485e+01 2.886405339809286485e-02 -1.261522227188290834e+01 1.371629322096116765e-01
3.100000000000000000e+01 1.141181204548217387e+01 2.765659694760070134e-02 -1.261570479550553436e+01 1.455161317842003643e-01
3.200000000000000000e+01 1.153666762260358603e+01 2.759059738223281974e-02 -1.235714133385616975e+01 1.360338694934701553e-01
3.300000000000000000e+01 1.152070958550566360e+01 2.692076167529157057e-02 -1.229778209054859595e+01 1.400493952612983928e-01
3.400000000000000000e+01 1.157317353806916138e+01 2.619586340531180127e-02 -1.227184634998782720e+01 1.381407271823956451e-01
3.500000000000000000e+01 1.158562476959640897e+01 2.604435988020934248e-02 -1.295216890841692781e+01 1.423376251424989247e-01
3.600000000000000000e+01 1.142482637006220791e+01 2.878989937366395468e-02 -1.252954304064010493e+01 1.366209751004997808e-01
3.700000000000000000e+01 1.145191126186267461e+01 2.597970842939010400e-02 -1.232852114355792850e+01 1.386820571716475547e-01
3.800000000000000000e+01 1.149465681314763366e+01 2.490631994413157468e-02 -1.246165887794345473e+01 1.463833046587947329e-01
3.900000000000000000e+01 1.154949855245583201e+01 2.447124944796087026e-02 -1.274269471310723745e+01 1.385616627702299097e-01
4.000000000000000000e+01 1.148831295396482943e+01 2.465547733169220698e-02 -1.255596088562552204e+01 1.351988825767334312e-01
4.100000000000000000e+01 1.155311216067502222e+01 2.628163843423718046e-02 -1.257035763565360398e+01 1.387392099858792416e-01
