# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
5.600000000000000000e+01 1.464908888902647810e+01 2.376430865899897826e-02 -1.583984255202199698e+01 1.354713655643893788e-01
5.700000000000000000e+01 1.465042367724650596e+01 2.089737397328853344e-02 -1.579390108091298295e+01 1.351522817591736536e-01
5.800000000000000000e+01 1.468407392217902974e+01 2.006669582383643208e-02 -1.536582216201541051e+01 1.348331835097209552e-01
5.900000000000000000e+01 1.465325651676893415e+01 2.175958442156323419e-02 -1.583097603252219265e+01 1.376407851361179657e-01
6.000000000000000000e+01 1.473527627486609148e+01 2.064545591260128973e-02 -1.553936726004262248e+01 1.360534770945440730e-01
6.100000000000000000e+01 1.458854615497462248e+01 2.421753015126220168e-02 -1.581360827664086877e+01 1.345123697229934356e-01
6.200000000000000000e+01 1.467891937263102164e+01 2.190945428456328795e-02 -1.564762847410127300e+01 1.370820072153137170e-01
6.300000000000000000e+01 1.470713999928374527e+01 2.024524101610453847e-02 -1.547909018021859318e+01 1.353204193695070057e-01
6.400000000000000000e+01 1.462661266055482123e+01 2.023756452143295886e-02 -1.576642782277601640e+01 1.355403882648174851e-01
6.500000000000000000e+01 1.469118927925558005e+01 2.011212464184992249e-02 -1.558033456127482097e+01 1.354674575121204427e-01
6.600000000000000000e+01 1.463354752568991302e+01 1.997298189473436028e-02 -1.552095508620149822e+01 1.346121497036677217e-01
6.700000000000000000e+01 1.465951142554242992e+01 1.927936601608891409e-02 -1.564777212151978958e+01 1.349408180832123993e-01
6.800000000000000000e+01 1.464656087506744875e+01 1.997297024062592505e-02 -1.575439647513344354e+01 1.352649526709482908e-01
6.900000000000000000e+01 1.472359930862681310e+01 1.994389088570060892e-02 -1.575750534891039045e+01 1.349628226387186991e-01
7.000000000000000000e+01 1.471632967530120339e+01 1.843267238343265779e-02 -1.565203892867746660e+01 1.350702307585273931e-01
7.100000000000000000e+01 1.474140963242184021e+01 1.891606749699842674e-02 -1.574346433668929457e+01 1.346884361009911824e-01
7.200000000000000000e+01 1.471529899502123762e+01 1.862121154426772673e-02 -1.552221086837573516e+01 1.353112541287894155e-01
7.300000000000000000e+01 1.478149781562950515e+01 1.811844117591972919e-02 -1.563495233948341578e+01 1.343160622687556982e-01
7.400000000000000000e+01 1.465303965907566486e+01 1.846941300007943002e-02 -1.578344921871636863e+01 1.349513744622021227e-01
7.500000000000000000e+01 1.464596250617119111e+01 1.784179622148041391e-02 -1.564388351657925647e+01 1.342890423976039749e-01
7.600000000000000000e+01 1.466383346479145366e+01 1.971524072719881351e-02 -1.573074067101815920e+01 1.340253885426619940e-01
7.700000000000000000e+01 1.474189262935541578e+01 1.907658955720012081e-02 -1.568522814196565918e+01 1.347778374315601602e-01
7.800000000000000000e+01 1.472447515315679389e+01 1.770287423550167064e-02 -1.548911770253898545e+01 1.343774490012455969e-01
7.900000000000000000e+01 1.466089747663383669e+01 1.796726179364345477e-02 -1.589041725281636452e+01 1.342736198713449791e-01
8.000000000000000000e+01 1.462805338156769253e+01 1.917971818247844393e-02 -1.558916098841949349e+01 1.351221619489915426e-01
8.100000000000000000e+01 1.471115116351589869e+01 1.745826831131510812e-02 -1.582341840034900748e+01 1.342132133215649115e-01
8.200000000000000000e+01 1.472548546010451176e+01 1.854285600772133044e-02 -1.544805037066739928e+01 1.338879891687521639e-01
8.300000000000000000e+01 1.466188382946222646e+01 1.741548752733365971e-02 -1.563767084618864089e+01 1.349023936248215927e-01
8.400000000000000000e+01 1.467821779282927785e+01 1.693665021446683072e-02 -1.563074979100683493e+01 1.350165968076564582e-01
8.500000000000000000e+01 1.466155450968643237e+01 1.703731993035051406e-02 -1.567957184126641046e+01 1.347525252978314936e-01
8.600000000000000000e+01 1.469817938241019561e+01 1.714837437690323874e-02 -1.564512401898910454e+01 1.340028794571331283e-01
8.700000000000000000e+01 1.470062554225603613e+01 1.660819920584887671e-02 -1.577962875065315274e+01 1.339452397045172161e-01
8.800000000000000000e+01 1.464158296412832527e+01 1.638100113080837722e-02 -1.590616967749086363e+01 1.348949605241417382e-01
8.900000000000000000e+01 1.462550794382218555e+01 1.667378143959157705e-02 -1.555248443357922028e+01 1.345885473086352035e-01
9.000000000000000000e+01 1.466832132153469104e+01 1.696518460171342682e-02 -1.581281236115743383e+01 1.346152022692876649e-01
9.100000000000000000e+01 1.467308949971446275e+01 1.703877872624339970e-02 -1.560358347844279692e+01 1.341061098300889709e-01
9.200000000000000000e+01 1.472224485033297547e+01 1.624801126978336549e-02 -1.585714153850866559e+01 1.351223575683660194e-01
9.300000000000000000e+01 1.469527753785864910e+01 1.751355992961477204e-02 -1.572787685650246381e+01 1.340061505216318671e-01
9.400000000000000000e+01 1.474152559284169683e+01 1.672779382142055432e-02 -1.567466988469329259e+01 1.340971345385102431e-01
9.500000000000000000e+01 1.471650857045723981e+01 1.571955129875058851e-02 -1.559420223401348515e+01 1.343594053344938088e-01
9.600000000000000000e+01 1.466360604200678530e+01 1.668226165284911189e-02 -1.546468254532415898e+01 1.340752909725733411e-01
9.700000000000000000e+01 1.478206087542346481e+01 1.687249715573838418e-02 -1.553389849002398293e+01 1.342187251024235528e-01
9.800000000000000000e+01 1.470908412978666036e+01 1.681187758752451106e-02 -1.565385001143953403e+01 1.341951705907645787e-01
9.900000000000000000e+01 1.468370169546662041e+01 1.612786531586288263e-02 -1.561842673106724533e+01 1.348201831175876164e-01
1.000000000000000000e+02 1.470169984944208430e+01 1.645881739792406234e-02 -1.561666396701539483e+01 1.341372779923711012e-01
